gender,weapon,team_a_id,team_b_id,fencer_a_name,score_a,fencer_b_name,score_b,winner,order,ncaa_status,fencer_a_id,fencer_b_id,id,match_id,index,meet_id,tie,wrong university error A,wrong university error B
men,foil,incarnateword,airforce,Daniel Jittan,2,Raphael Li,5,,1,TRUE,453,586,b1mm1western-invitational-24-25,m1western-invitational-24-25,1,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,foil,incarnateword,airforce,Nolan Chez,2,Vlad Lovin,5,,2,TRUE,449,587,b2mm1western-invitational-24-25,m1western-invitational-24-25,2,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,foil,incarnateword,airforce,Davis Dore,3,Jack Griffith,5,,3,TRUE,451,583,b3mm1western-invitational-24-25,m1western-invitational-24-25,3,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,foil,incarnateword,airforce,Nolan Chez,1,Raphael Li,5,,4,TRUE,449,586,b4mm1western-invitational-24-25,m1western-invitational-24-25,4,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,foil,incarnateword,airforce,Daniel Jittan,5,Jack Griffith,4,,5,TRUE,453,583,b5mm1western-invitational-24-25,m1western-invitational-24-25,5,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,foil,incarnateword,airforce,Davis Dore,3,Vlad Lovin,5,,6,TRUE,451,587,b6mm1western-invitational-24-25,m1western-invitational-24-25,6,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,foil,incarnateword,airforce,Luke McKinley,1,Jack Griffith,5,,7,TRUE,455,583,b7mm1western-invitational-24-25,m1western-invitational-24-25,7,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,foil,incarnateword,airforce,Davis Dore,3,Raphael Li,5,,8,TRUE,451,586,b8mm1western-invitational-24-25,m1western-invitational-24-25,8,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,foil,incarnateword,airforce,Manny Sanchez,5,Vlad Lovin,3,,9,TRUE,456,587,b9mm1western-invitational-24-25,m1western-invitational-24-25,9,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,epee,incarnateword,airforce,Dominic Zubeck,4,Shwan Lee,5,,1,TRUE,459,585,b10mm1western-invitational-24-25,m1western-invitational-24-25,10,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,epee,incarnateword,airforce,Jayden Breton,1,Omar Emara,5,,2,TRUE,448,581,b11mm1western-invitational-24-25,m1western-invitational-24-25,11,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,epee,incarnateword,airforce,Bryce Thayer,4,Siddhant Padhye,5,,3,TRUE,457,589,b12mm1western-invitational-24-25,m1western-invitational-24-25,12,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,epee,incarnateword,airforce,Jayden Breton,4,Shwan Lee,5,,4,TRUE,448,585,b13mm1western-invitational-24-25,m1western-invitational-24-25,13,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,epee,incarnateword,airforce,Dominic Zubeck,5,George Gasparovich IV,1,,5,TRUE,459,582,b14mm1western-invitational-24-25,m1western-invitational-24-25,14,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,epee,incarnateword,airforce,Bryce Thayer,2,Omar Emara,5,,6,TRUE,457,581,b15mm1western-invitational-24-25,m1western-invitational-24-25,15,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,epee,incarnateword,airforce,Jayden Breton,0,George Gasparovich IV,5,,7,TRUE,448,582,b16mm1western-invitational-24-25,m1western-invitational-24-25,16,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,epee,incarnateword,airforce,Bryce Thayer,4,Shwan Lee,5,,8,TRUE,457,585,b17mm1western-invitational-24-25,m1western-invitational-24-25,17,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,epee,incarnateword,airforce,Dominic Zubeck,0,Omar Emara,5,,9,TRUE,459,581,b18mm1western-invitational-24-25,m1western-invitational-24-25,18,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,saber,incarnateword,airforce,Brendan Barber,0,Jackson Houtz,5,,1,TRUE,447,584,b19mm1western-invitational-24-25,m1western-invitational-24-25,19,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,saber,incarnateword,airforce,Spencer Dillree,5,Stylianos Tasikas,3,,2,TRUE,450,590,b20mm1western-invitational-24-25,m1western-invitational-24-25,20,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,saber,incarnateword,airforce,Matt Maguire,4,Mack Luebbe,5,,3,TRUE,454,588,b21mm1western-invitational-24-25,m1western-invitational-24-25,21,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,saber,incarnateword,airforce,Brendan Barber,3,Stylianos Tasikas,5,,4,TRUE,447,590,b22mm1western-invitational-24-25,m1western-invitational-24-25,22,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,saber,incarnateword,airforce,Matt Maguire,2,Jackson Houtz,5,,5,TRUE,454,584,b23mm1western-invitational-24-25,m1western-invitational-24-25,23,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,saber,incarnateword,airforce,Spencer Dillree,5,Mack Luebbe,4,,6,TRUE,450,588,b24mm1western-invitational-24-25,m1western-invitational-24-25,24,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,saber,incarnateword,airforce,Matt Maguire,5,Stylianos Tasikas,4,,7,TRUE,454,590,b25mm1western-invitational-24-25,m1western-invitational-24-25,25,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,saber,incarnateword,airforce,Brendan Barber,1,Mack Luebbe,5,,8,TRUE,447,588,b26mm1western-invitational-24-25,m1western-invitational-24-25,26,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,saber,incarnateword,airforce,Spencer Dillree,1,Jackson Houtz,5,,9,TRUE,450,584,b27mm1western-invitational-24-25,m1western-invitational-24-25,27,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,foil,ucsd,ohiostate,Scott Lao,5,Lorenzo Mion,2,,1,TRUE,465,169,b28mm2western-invitational-24-25,m2western-invitational-24-25,28,western-invitational-24-25,FALSE,CORRECT,CORRECT
men,foil,ucsd,ohiostate,Brandon Kim,3,Justin Vogler,5,,2,TRUE,463,180,b29mm2western-invitational-24-25,m2western-invitational-24-25,29,western-invitational-24-25,FALSE,CORRECT,CORRECT
